Acronym,Translation,Description,,,,,,,,,,,
1PA,one-post-adiabatic,,,,,,,,,,,,
AAM,Active Aperture Mechanism,,,,,,,,,,,,
AB,Actuator Block,,,,,,,,,,,,
ABCL,As-Built Configuration List,,,,,,,,,,,,
AC,Alternating Current,,,,,,,,,,,,
ACM,Agency Controlled Milestones,,,,,,,,,,,,
AD,Applicable Document,,,,,,,,,,,,
ADC,Analog-To-Digital Converter,,,,,,,,,,,,
ADPLL,all-digital phase-locked loop,,,,,,,,,,,,
AE,Arianespace,,,,,,,,,,,,
AEI,Albert Einstein Institute,,,,,,,,,,,,
AGIS,Atomic Gravitational-wave Interferometer Sensor,,,,,,,,,,,,
AGN,Active Galactic Nuclei,,,,,,,,,,,,
AI,Atom Interferometry,,,,,,,,,,,,
AIL,Action Item List,,,,,,,,,,,,
AIT,"Assembly, Integration, and Testing",,,,,,,,,,,,
AIV,"Assembly, Integration and Verification",,,,,,,,,,,,
AK,Analytic Kludge,,,,,,,,,,,,
AKE,attitude absolute knowledge,,,,,,,,,,,,
ALD,Advanced Light Direction,,,,,,,,,,,,
ALMA,Atacama Large Millimeter/submillimeter Array,,,,,,,,,,,,
AM CVN,AM Canum Venaticorum star (cataclysmic variable),,,,,,,,,,,,
AMR,Anisotropic Magnetoresistors,,,,,,,,,,,,
AMU,Accelerometer Measurement Unit,,,,,,,,,,,,
AO,Announcement Of Opportunity,,,,,,,,,,,,
AOCS,Attitude & Orbit Control System,,,,,,,,,,,,
AOM,acousto-optic modulator,,,,,,,,,,,,
AP,(NASA's) Astrophysics Division,,,,,,,,,,,,
APE,Absolute Pointing Error,,,,,,,,,,,,
API,Application Programming Interface,,,,,,,,,,,,
APID,Application Process Identification,,,,,,,,,,,,
APM,Antenna Pointing Mechanism,,,,,,,,,,,,
ASI,Agenzia Spaziale Italiana,,,,,,,,,,,,
ASD,Amplitude Spectral Density,,,,,,,,,,,,
ASM,Analogue Signal Monitor,,,,,,,,,,,,
ASTROWG,Astrophysics Working Group,,,,,,,,,,,,
ATA,Allen Telescope Array,,,,,,,,,,,,
"ATC, UK ATC",UK Astronomy Technology Centre,,,,,,,,,,,,
ATLO,"Assembly, Test, and Launch Operations",,,,,,,,,,,,
ATM,Acoustic Telemetry Modem,,,,,,,,,,,,
ATM,Augmented Telemetry,,,,,,,,,,,,
ATP,Authorisation To Proceed,,,,,,,,,,,,
AU,Astronomical Unit,,,,,,,,,,,,
Au,gold,,,,,,,,,,,,
AVM,Avionic Model,,,,,,,,,,,,
ASW,Application Software,,,,,,,,,,,,
AWG,American Wire Gauge,,,,,,,,,,,,
BAM,Beam Alignment Mechanism,,,,,,,,,,,,
BAO,Baryonic Acoustic Oscillation,,,,,,,,,,,,
BB,Breadboard,,,,,,,,,,,,
BBN,Big Bang Nucleosynthesis,,,,,,,,,,,,
BCR,Battery Charge Regulator,,,,,,,,,,,,
BCRS,Barycentric Celestial Reference System,,,,,,,,,,,,
BDM,Bi-Level Discrete Monitor,,,,,,,,,,,,
BEE,Back End Electronics,,,,,,,,,,,,
BELSPO,Belgian Science Policy,,,,,,,,,,,,
BER,Bit Error Rate,,,,,,,,,,,,
BH,Black Hole,,,,,,,,,,,,
B,Black Hole Binary,,,,,,,,,,,,
BIPR,Background Intellectual Properties Rights,,,,,,,,,,,,
BM,Balance Mass,,,,,,,,,,,,
BoB,Break Out Box,,,,,,,,,,,,
BoL,Beginning-Of-Life,,,,,,,,,,,,
BSM,Physics beyond the Standard Model,,,,,,,,,,,,
BSW,Basic Software,,,,,,,,,,,,
CAB,Change Appeal Board,,,,,,,,,,,,
CAC,Cost at Completion,,,,,,,,,,,,
CAD,Computer Aided Design,,,,,,,,,,,,
CADM,Configuration And Data Management,,,,,,,,,,,,
CAM,Constellation Acquisition Mode,,,,,,,,,,,,
CAS,Constellation Acquisition System,,,,,,,,,,,,
CAS-OH,CAS Optical Head,,,,,,,,,,,,
CAS-EU,CAS Electronic Unit,,,,,,,,,,,,
CATWP,Catalogues Work Package,,,,,,,,,,,,
CBE,Current Best Estimate,,,,,,,,,,,,
CBOD,Clamp Band Opening Device,,,,,,,,,,,,
CCCP,"Cleanliness, Contamination, and Control Plan",,,,,,,,,,,,
CCD,Charge-Coupled Device,,,,,,,,,,,,
CCN,Contract Change Notice,,,,,,,,,,,,
CCU,Charging Control Unit,,,,,,,,,,,,
CCS,Central Checkout System,,,,,,,,,,,,
CCSDS,Consultative Committee for Space Data Systems,,,,,,,,,,,,
CCW,Counterclockwise,,,,,,,,,,,,
CDF,Concurrent Design Facility,,,,,,,,,,,,
CDM,Cold Dark Matter,,,,,,,,,,,,
CDMS,Central Data Management System,,,,,,,,,,,,
CDMU,Control and Data Management Unit,,,,,,,,,,,,
CDR,Critical Design Review,,,,,,,,,,,,
CE,European safety standard,,,,,,,,,,,,
CE,Cosmic Explorer,,,,,,,,,,,,
CE,Conducted Emission,,,,,,,,,,,,
CEL,Critical Event Log,,,,,,,,,,,,
CF,Communication Frame,,,,,,,,,,,,
CFI,Customer-Furnished Items,,,,,,,,,,,,
CFRP,Carbon Fibre Reinforced Plastic,,,,,,,,,,,,
CG,Cold Gas,,,,,,,,,,,,
CIDL,Configuration Item Data List,,,,,,,,,,,,
CIL,Critical Items List,,,,,,,,,,,,
CIP,Continuous Improvement Program,,,,,,,,,,,,
CL,Confidence Level,,,,,,,,,,,,
CLA,Coupled Loads Analysis,,,,,,,,,,,,
CLHT,Can LISA Hear This? (Detectability Calculator),,,,,,,,,,,,
CM,Charging Mechanism,,,,,,,,,,,,
CM,Configuration Management,,,,,,,,,,,,
CM,Common Mode,,,,,,,,,,,,
